epoch,phase,batch_idx,loss,acc,precision,recall,f1
1,train,0,0.796916,0.558594,0.028491,0.25,0.038538
1,train,1,0.765844,0.570871,0.043901,0.345925,0.061794
1,train,2,0.778855,0.573661,0.053441,0.280952,0.077187
1,train,3,0.788242,0.554129,0.028855,0.338861,0.043527
1,train,4,0.790296,0.546875,0.039987,0.340179,0.065448
1,train,5,0.782566,0.564174,0.038528,0.379337,0.055424
1,train,6,0.785275,0.56808,0.034265,0.350094,0.055619
1,train,7,0.790012,0.563058,0.033759,0.324603,0.051272
1,train,8,0.803007,0.561384,0.036339,0.199915,0.050951
1,train,9,0.792498,0.568638,0.064915,0.359384,0.082374
1,train,10,0.771671,0.557478,0.024456,0.25737,0.038589
1,train,11,0.818955,0.543527,0.023052,0.244898,0.036098
1,train,12,0.798426,0.56529,0.027832,0.347222,0.041553
1,train,13,0.778035,0.570312,0.04905,0.3599,0.066241
1,train,14,0.781218,0.544085,0.034781,0.254167,0.039107
1,train,15,0.789895,0.555804,0.031433,0.3134,0.050931
1,train,16,0.775037,0.553571,0.04955,0.295663,0.064353
1,train,17,0.773804,0.570312,0.051323,0.42542,0.076493
1,train,18,0.772894,0.565848,0.045564,0.259673,0.06132
1,train,19,0.760144,0.570312,0.036341,0.257738,0.055116
1,train,20,0.801163,0.568638,0.046367,0.324575,0.068928
1,train,21,0.773879,0.577009,0.05605,0.316156,0.070165
1,train,22,0.772489,0.568638,0.050662,0.338853,0.06933
1,train,23,0.777689,0.56808,0.031865,0.230554,0.043369
1,train,24,0.790392,0.555804,0.031517,0.229532,0.046147
1,train,25,0.774205,0.577567,0.044855,0.393118,0.067633
1,train,26,0.77961,0.560826,0.027469,0.247009,0.042716
1,train,27,0.771813,0.578683,0.04497,0.357843,0.063775
1,train,28,0.790937,0.565848,0.03731,0.327548,0.053819
1,train,29,0.78468,0.586496,0.040891,0.360119,0.063255
1,train,30,0.775283,0.59096,0.042101,0.242137,0.061915
1,train,31,0.770947,0.577009,0.042572,0.330952,0.066409
1,train,32,0.777778,0.595424,0.039992,0.291667,0.05617
1,train,33,0.791867,0.58817,0.041733,0.29494,0.06039
1,train,34,0.767642,0.583705,0.03494,0.377083,0.05707
1,train,35,0.773369,0.578125,0.037024,0.242857,0.052251
1,train,36,0.77597,0.576451,0.021605,0.234066,0.036689
1,train,37,0.756095,0.598214,0.034607,0.306207,0.053967
1,train,38,0.749595,0.59933,0.029641,0.244345,0.042711
1,train,39,0.750971,0.593192,0.038145,0.266808,0.05549
1,train,40,0.783176,0.584263,0.045433,0.296131,0.063018
1,train,41,0.780302,0.569196,0.032843,0.306548,0.048497
1,train,42,0.758033,0.624442,0.050801,0.31131,0.067944
1,train,43,0.761682,0.598214,0.041457,0.328992,0.060191
1,train,44,0.768631,0.609375,0.041991,0.264545,0.0546
1,train,45,0.765627,0.614397,0.036813,0.25047,0.05545
1,train,46,0.768069,0.598772,0.023152,0.247619,0.037772
1,train,47,0.765873,0.601562,0.040783,0.338393,0.064149
1,train,48,0.753336,0.600446,0.039003,0.321429,0.057107
1,train,49,0.776797,0.604353,0.043568,0.244643,0.062365
1,train,50,0.744584,0.623326,0.042087,0.217857,0.058316
1,train,51,0.765839,0.605469,0.039826,0.234158,0.059084
1,train,52,0.755541,0.599888,0.029536,0.225,0.040359
1,train,53,0.772729,0.59654,0.021107,0.163776,0.0305
1,train,54,0.773423,0.606027,0.03855,0.247122,0.059292
1,train,55,0.763138,0.626116,0.033039,0.314732,0.048416
1,train,56,0.770773,0.623884,0.05324,0.265156,0.076078
1,train,57,0.772662,0.631138,0.031933,0.228711,0.044379
1,train,58,0.768096,0.631138,0.053655,0.24565,0.076905
1,train,59,0.743955,0.633929,0.038292,0.323183,0.053528
1,train,60,0.762704,0.635603,0.032126,0.240327,0.0502
1,train,61,0.73955,0.627232,0.050417,0.245663,0.068545
1,train,62,0.76409,0.631138,0.029752,0.267927,0.044972
1,train,63,0.759881,0.642299,0.027298,0.15958,0.038974
1,train,64,0.726731,0.631696,0.03796,0.304816,0.052774
1,train,65,0.761936,0.634487,0.027804,0.233944,0.045366
1,train,66,0.744779,0.654576,0.028551,0.184084,0.038894
1,train,67,0.746925,0.640067,0.025393,0.244792,0.035283
1,train,68,0.741772,0.631696,0.015512,0.173087,0.026619
1,train,69,0.744751,0.65067,0.03883,0.221875,0.05219
1,train,70,0.728834,0.663504,0.048541,0.368651,0.075921
1,train,71,0.762478,0.667411,0.040463,0.285938,0.05597
1,train,72,0.73939,0.673549,0.035613,0.241422,0.051035
1,train,73,0.756436,0.647879,0.036298,0.184903,0.05093
1,train,74,0.761368,0.668527,0.047412,0.24747,0.060673
1,train,75,0.737613,0.672991,0.039742,0.17398,0.054156
1,train,76,0.738592,0.680246,0.042395,0.202183,0.054536
1,train,77,0.742713,0.671875,0.035209,0.21513,0.050136
1,train,78,0.739981,0.679688,0.052173,0.263435,0.063265
1,train,79,0.721681,0.655692,0.030874,0.18767,0.042618
1,train,80,0.717235,0.69029,0.037646,0.289286,0.059049
1,train,81,0.738695,0.694196,0.028001,0.183631,0.038597
1,train,82,0.736118,0.709821,0.019464,0.146259,0.030661
1,train,83,0.722641,0.707589,0.041694,0.160006,0.05406
1,train,84,0.742056,0.691406,0.038516,0.221687,0.044686
1,train,85,0.713928,0.700893,0.033181,0.231618,0.044569
1,train,86,0.722515,0.717634,0.04463,0.179592,0.055323
1,train,87,0.734363,0.729911,0.056486,0.203081,0.0656
1,train,88,0.727276,0.719866,0.026794,0.221514,0.040963
1,train,89,0.714306,0.72433,0.041194,0.18264,0.052463
1,train,90,0.71819,0.730469,0.031706,0.191071,0.044922
1,train,91,0.709744,0.736049,0.033453,0.27303,0.053009
1,train,92,0.718911,0.743862,0.036356,0.23631,0.053457
1,train,93,0.695431,0.744978,0.026329,0.125188,0.035038
1,train,94,0.7096,0.756138,0.03713,0.17517,0.050795
1,train,95,0.730321,0.749442,0.023389,0.123639,0.035498
1,train,96,0.725318,0.743862,0.03038,0.171599,0.041987
1,train,97,0.687111,0.768415,0.02362,0.077381,0.027272
1,train,98,0.69783,0.758929,0.043327,0.116241,0.053101
1,train,99,0.695772,0.758371,0.046151,0.123746,0.051174
1,train,100,0.6823,0.772321,0.031733,0.140816,0.040908
1,train,101,0.712119,0.775112,0.022267,0.134439,0.032432
1,train,102,0.682737,0.784598,0.038613,0.17619,0.054589
1,train,103,0.696535,0.791295,0.034193,0.137205,0.038923
1,train,104,0.68263,0.777344,0.045301,0.228444,0.064526
1,train,105,0.673043,0.788504,0.03882,0.135119,0.041345
1,train,106,0.701449,0.792969,0.038509,0.199068,0.056535
1,train,107,0.665501,0.813616,0.03402,0.147321,0.042059
1,train,108,0.683072,0.792411,0.046575,0.097521,0.047917
1,train,109,0.69258,0.807478,0.025482,0.104816,0.033913
1,train,110,0.670728,0.8125,0.02839,0.14881,0.041307
1,train,111,0.685314,0.822545,0.044895,0.127381,0.052948
1,train,112,0.665591,0.833705,0.016961,0.07483,0.018436
1,train,113,0.660039,0.830915,0.017571,0.097619,0.024304
1,train,114,0.676642,0.819196,0.017004,0.07239,0.02526
1,train,115,0.646194,0.844308,0.041036,0.122807,0.044695
1,train,116,0.698552,0.844866,0.025206,0.123016,0.035482
1,train,117,0.682312,0.835938,0.022997,0.111607,0.034516
1,train,118,0.662582,0.844866,0.038307,0.165923,0.05012
1,train,119,0.669137,0.844866,0.029578,0.137897,0.038051
1,train,120,0.669569,0.848214,0.017308,0.109244,0.024745
1,train,121,0.646196,0.84654,0.025799,0.110714,0.031458
1,train,122,0.655906,0.856585,0.017978,0.070833,0.024904
1,train,123,0.669217,0.859375,0.018146,0.071699,0.023157
1,train,124,0.672426,0.866071,0.022639,0.103373,0.034177
1,train,125,0.674034,0.862165,0.061655,0.09881,0.049845
1,train,126,0.644291,0.866071,0.024419,0.07753,0.028845
1,train,127,0.641177,0.873884,0.079606,0.136983,0.065541
1,train,128,0.653882,0.867746,0.024825,0.11639,0.033704
1,train,129,0.672663,0.878348,0.04063,0.113095,0.046564
1,train,130,0.632637,0.876116,0.024167,0.071429,0.02761
1,train,131,0.61625,0.878348,0.026719,0.095663,0.034178
1,train,132,0.644271,0.885045,0.026573,0.061951,0.03114
1,train,133,0.662999,0.885603,0.041355,0.07619,0.027661
1,train,134,0.64986,0.883929,0.029512,0.110894,0.038735
1,train,135,0.65302,0.886161,0.010575,0.045238,0.012251
1,train,136,0.613643,0.890625,0.030258,0.051716,0.030258
1,train,137,0.62851,0.886161,0.038533,0.077381,0.040995
1,train,138,0.675505,0.885603,0.03241,0.076531,0.035981
1,train,139,0.622086,0.891183,0.013215,0.055357,0.017016
1,train,140,0.610372,0.912388,0.036784,0.085034,0.040138
1,train,141,0.610051,0.90067,0.037967,0.084957,0.035549
1,train,142,0.640316,0.905134,0.010933,0.039286,0.014227
1,train,143,0.622785,0.892299,0.039396,0.070971,0.03621
1,train,144,0.618525,0.887835,0.01175,0.021146,0.014583
1,train,145,0.626792,0.90346,0.010514,0.056818,0.015947
1,train,146,0.629856,0.904018,0.020833,0.06622,0.023498
1,train,147,0.591163,0.915179,0.027648,0.095068,0.036843
1,train,148,0.676818,0.899554,0.011679,0.056548,0.018418
1,train,149,0.598505,0.919085,0.037856,0.087585,0.035861
1,train,150,0.589538,0.914063,0.055009,0.041865,0.030288
1,train,151,0.625938,0.912946,0.040412,0.05165,0.042455
1,train,152,0.565453,0.916853,0.034587,0.061147,0.036933
1,train,153,0.596088,0.915179,0.039174,0.042659,0.030266
1,train,154,0.664847,0.912946,0.011818,0.030723,0.01505
1,train,155,0.604228,0.916295,0.033142,0.054762,0.030324
1,train,156,0.587976,0.916853,0.029682,0.045323,0.027717
1,train,157,0.609958,0.922433,0.046368,0.069048,0.0332
1,train,158,0.583884,0.925781,0.034182,0.054989,0.037318
1,train,159,0.615796,0.921875,0.048349,0.069345,0.024525
1,train,160,0.615214,0.926339,0.006349,0.009127,0.006217
1,train,161,0.574691,0.926897,0.013049,0.02619,0.01007
1,train,162,0.608905,0.914621,0.012188,0.019345,0.012606
1,train,163,0.60218,0.928013,0.013445,0.023352,0.015528
1,train,164,0.582787,0.919085,0.007684,0.021825,0.007158
1,train,165,0.579243,0.935826,0.032418,0.053571,0.035276
1,train,166,0.597287,0.919643,0.027742,0.035714,0.028313
1,train,167,0.593358,0.924107,0.008257,0.027778,0.008964
1,train,168,0.56648,0.938058,0.021429,0.013393,0.016484
1,train,169,0.568166,0.934152,0.051729,0.046537,0.028311
1,train,170,0.568794,0.929688,0.019452,0.029517,0.020748
1,train,171,0.55164,0.935826,0.009045,0.021429,0.009073
1,train,172,0.609637,0.936384,0.036281,0.048512,0.039204
1,train,173,0.571107,0.938058,0.024691,0.059924,0.028048
1,train,174,0.576496,0.933036,0.054822,0.040079,0.038949
1,train,175,0.614545,0.933594,0.005952,0.010204,0.007519
1,train,176,0.542931,0.94308,0.02023,0.02764,0.020833
1,train,177,0.569185,0.9375,0.01599,0.022321,0.016756
1,train,178,0.59882,0.939174,0.005952,0.002232,0.003247
1,train,179,0.564383,0.938058,0.015129,0.014385,0.014706
1,train,180,0.579068,0.941406,0.017857,0.016667,0.017143
1,train,181,0.564753,0.938058,0.008929,0.006303,0.007389
1,train,182,0.562329,0.945871,0.021825,0.01514,0.014711
1,train,183,0.554715,0.941964,0.034957,0.035204,0.028274
1,train,184,0.561072,0.950335,0.059028,0.051136,0.044081
1,train,185,0.553037,0.942522,0.06131,0.042857,0.038045
